Region Name,Region Unique Number,Number of Voxels,Mask File Path,Delta X,Delta Y,Delta Z,Mask Center,Mni_Scaled
frontal,64,36,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_64.nii,5,2,8,"[64, 75, 95, 1]","[-0.08, -0.123, 0.829]"
frontal,65,206,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_65.nii,7,11,9,"[69, 80, 95, 1]","[-0.18, -0.055, 0.829]"
frontal,86,103,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_86.nii,7,6,9,"[85, 85, 83, 1]","[-0.5, 0.014, 0.618]"
frontal,87,679,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_87.nii,11,15,15,"[79, 84, 86, 1]","[-0.38, 0.0, 0.671]"
frontal,88,59,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_88.nii,6,7,11,"[79, 80, 84, 1]","[-0.38, -0.055, 0.635]"
frontal,89,830,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_89.nii,10,16,17,"[75, 88, 89, 1]","[-0.3, 0.055, 0.724]"
frontal,90,87,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_90.nii,11,5,11,"[91, 90, 67, 1]","[-0.62, 0.082, 0.335]"
frontal,91,63,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_91.nii,8,4,6,"[90, 87, 75, 1]","[-0.6, 0.041, 0.476]"
frontal,97,10,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_97.nii,2,3,5,"[89, 81, 41, 1]","[-0.58, -0.041, -0.124]"
frontal,98,923,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_98.nii,9,17,17,"[86, 86, 45, 1]","[-0.52, 0.027, -0.053]"
frontal,99,399,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_99.nii,9,12,9,"[84, 99, 48, 1]","[-0.48, 0.205, 0.0]"
frontal,100,312,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_100.nii,7,10,15,"[87, 74, 48, 1]","[-0.54, -0.136, 0.0]"
frontal,101,377,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_101.nii,9,15,7,"[84, 97, 53, 1]","[-0.48, 0.177, 0.088]"
frontal,102,248,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_102.nii,8,10,8,"[85, 87, 55, 1]","[-0.5, 0.041, 0.124]"
frontal,103,303,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_103.nii,11,12,9,"[91, 91, 50, 1]","[-0.62, 0.095, 0.035]"
frontal,104,419,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_104.nii,12,15,10,"[94, 85, 51, 1]","[-0.68, 0.014, 0.053]"
frontal,105,258,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_105.nii,9,6,21,"[96, 91, 58, 1]","[-0.72, 0.095, 0.176]"
frontal,106,1262,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_106.nii,15,17,21,"[81, 113, 70, 1]","[-0.42, 0.395, 0.388]"
frontal,107,698,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_107.nii,8,14,13,"[64, 98, 70, 1]","[-0.08, 0.191, 0.388]"
frontal,108,619,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_108.nii,8,17,14,"[64, 85, 76, 1]","[-0.08, 0.014, 0.494]"
frontal,109,191,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_109.nii,9,8,5,"[66, 70, 75, 1]","[-0.12, -0.191, 0.476]"
frontal,110,804,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_110.nii,8,15,17,"[64, 90, 81, 1]","[-0.08, 0.082, 0.582]"
frontal,113,346,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_113.nii,11,12,8,"[67, 82, 94, 1]","[-0.14, -0.027, 0.812]"
frontal,114,472,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_114.nii,9,20,9,"[70, 99, 34, 1]","[-0.2, 0.205, -0.247]"
frontal,115,909,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_115.nii,13,20,12,"[76, 99, 36, 1]","[-0.32, 0.205, -0.212]"
frontal,116,1197,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_116.nii,18,22,11,"[69, 116, 35, 1]","[-0.18, 0.436, -0.229]"
frontal,117,494,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_117.nii,6,16,11,"[64, 102, 35, 1]","[-0.08, 0.245, -0.229]"
frontal,118,859,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_118.nii,19,9,14,"[72, 127, 42, 1]","[-0.24, 0.586, -0.106]"
frontal,134,622,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_134.nii,11,18,7,"[79, 117, 39, 1]","[-0.38, 0.45, -0.159]"
frontal,135,945,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_135.nii,13,16,19,"[90, 117, 45, 1]","[-0.6, 0.45, -0.053]"
frontal,136,700,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_136.nii,13,14,15,"[92, 108, 57, 1]","[-0.64, 0.327, 0.159]"
frontal,137,808,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_137.nii,10,15,16,"[87, 117, 57, 1]","[-0.54, 0.45, 0.159]"
frontal,138,757,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_138.nii,12,12,13,"[79, 121, 58, 1]","[-0.38, 0.505, 0.176]"
frontal,139,979,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_139.nii,13,13,16,"[89, 110, 63, 1]","[-0.58, 0.355, 0.265]"
frontal,140,1168,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_140.nii,14,16,17,"[90, 97, 68, 1]","[-0.6, 0.177, 0.353]"
frontal,141,342,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_141.nii,15,11,10,"[89, 91, 71, 1]","[-0.58, 0.095, 0.406]"
frontal,142,786,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_142.nii,13,13,14,"[86, 107, 75, 1]","[-0.52, 0.314, 0.476]"
frontal,143,354,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_143.nii,12,11,8,"[83, 96, 43, 1]","[-0.46, 0.164, -0.088]"
frontal,146,205,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_146.nii,4,17,8,"[62, 88, 67, 1]","[-0.04, 0.055, 0.335]"
frontal,147,135,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_147.nii,4,13,3,"[62, 72, 68, 1]","[-0.04, -0.164, 0.353]"
frontal,148,858,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_148.nii,6,17,19,"[63, 103, 79, 1]","[-0.06, 0.259, 0.547]"
frontal,153,2,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_153.nii,0,1,0,"[90, 88, 42, 1]","[-0.6, 0.055, -0.106]"
frontal,166,706,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_166.nii,14,15,13,"[84, 100, 40, 1]","[-0.48, 0.218, -0.141]"
frontal,167,312,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_167.nii,11,11,7,"[84, 109, 39, 1]","[-0.48, 0.341, -0.159]"
frontal,168,635,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_168.nii,7,18,14,"[65, 119, 42, 1]","[-0.1, 0.477, -0.106]"
frontal,169,819,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_169.nii,8,20,11,"[64, 108, 43, 1]","[-0.08, 0.327, -0.088]"
frontal,170,580,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_170.nii,11,17,13,"[91, 105, 42, 1]","[-0.62, 0.286, -0.106]"
frontal,171,552,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_171.nii,12,10,11,"[79, 122, 48, 1]","[-0.38, 0.518, 0.0]"
frontal,172,567,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_172.nii,13,15,9,"[92, 104, 49, 1]","[-0.64, 0.273, 0.018]"
frontal,173,415,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_173.nii,8,11,12,"[64, 125, 52, 1]","[-0.08, 0.559, 0.071]"
frontal,174,1084,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_174.nii,9,16,16,"[65, 113, 53, 1]","[-0.1, 0.395, 0.088]"
frontal,175,887,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_175.nii,11,15,20,"[95, 99, 56, 1]","[-0.7, 0.205, 0.141]"
frontal,176,553,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_176.nii,15,7,13,"[71, 128, 55, 1]","[-0.22, 0.6, 0.124]"
frontal,177,896,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_177.nii,8,15,19,"[64, 105, 63, 1]","[-0.08, 0.286, 0.265]"
frontal,178,1498,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_178.nii,8,22,24,"[64, 118, 69, 1]","[-0.08, 0.464, 0.371]"
frontal,179,797,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_179.nii,11,14,23,"[71, 121, 69, 1]","[-0.22, 0.505, 0.371]"
frontal,180,788,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_180.nii,9,17,22,"[76, 118, 69, 1]","[-0.32, 0.464, 0.371]"
frontal,181,581,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_181.nii,9,14,12,"[78, 103, 78, 1]","[-0.36, 0.259, 0.529]"
frontal,182,980,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_182.nii,18,16,19,"[87, 97, 81, 1]","[-0.54, 0.177, 0.582]"
frontal,183,368,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_183.nii,9,15,9,"[66, 113, 82, 1]","[-0.12, 0.395, 0.6]"
frontal,184,514,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_184.nii,10,14,15,"[73, 108, 81, 1]","[-0.26, 0.327, 0.582]"
frontal,185,621,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_185.nii,11,12,16,"[89, 89, 81, 1]","[-0.58, 0.068, 0.582]"
frontal,186,495,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_186.nii,8,17,13,"[80, 94, 86, 1]","[-0.4, 0.136, 0.671]"
frontal,187,490,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_187.nii,7,14,15,"[75, 97, 83, 1]","[-0.3, 0.177, 0.618]"
frontal,188,706,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_188.nii,13,16,11,"[68, 100, 89, 1]","[-0.16, 0.218, 0.724]"
frontal,189,720,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_189.nii,11,14,14,"[67, 91, 90, 1]","[-0.14, 0.095, 0.741]"
frontal,197,26,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_197.nii,3,1,5,"[63, 67, 73, 1]","[-0.06, -0.232, 0.441]"
frontal,198,298,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_198.nii,6,15,9,"[63, 75, 73, 1]","[-0.06, -0.123, 0.441]"
frontal,231,39,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_231.nii,11,15,10,"[27, 84, 45, 1]","[0.66, 0.0, -0.053]"
frontal,233,37,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_233.nii,15,11,6,"[25, 77, 53, 1]","[0.7, -0.095, 0.088]"
frontal,234,114,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_234.nii,7,6,7,"[35, 73, 52, 1]","[0.5, -0.15, 0.071]"
frontal,235,232,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_235.nii,7,12,7,"[35, 78, 57, 1]","[0.5, -0.082, 0.159]"
frontal,236,127,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_236.nii,6,6,7,"[37, 71, 58, 1]","[0.46, -0.177, 0.176]"
frontal,237,5,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_237.nii,5,1,2,"[21, 74, 55, 1]","[0.78, -0.136, 0.124]"
frontal,239,198,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_239.nii,9,9,6,"[34, 76, 58, 1]","[0.52, -0.109, 0.176]"
frontal,240,2,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_240.nii,1,0,0,"[32, 72, 61, 1]","[0.56, -0.164, 0.229]"
frontal,241,296,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_241.nii,11,9,8,"[27, 77, 55, 1]","[0.66, -0.095, 0.124]"
frontal,242,202,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_242.nii,11,9,6,"[23, 83, 53, 1]","[0.74, -0.014, 0.088]"
frontal,243,108,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_243.nii,9,4,5,"[28, 73, 59, 1]","[0.64, -0.15, 0.194]"
frontal,244,185,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_244.nii,8,7,8,"[21, 77, 57, 1]","[0.78, -0.095, 0.159]"
frontal,246,1,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_246.nii,0,0,0,"[19, 81, 55, 1]","[0.82, -0.041, 0.124]"
frontal,250,249,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_250.nii,8,11,6,"[55, 74, 75, 1]","[0.1, -0.136, 0.476]"
frontal,254,528,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_254.nii,7,20,10,"[57, 77, 82, 1]","[0.06, -0.095, 0.6]"
frontal,260,36,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_260.nii,3,11,13,"[59, 72, 85, 1]","[0.02, -0.164, 0.653]"
frontal,261,28,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_261.nii,6,4,7,"[44, 79, 92, 1]","[0.32, -0.068, 0.776]"
frontal,266,332,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_266.nii,11,10,11,"[49, 80, 94, 1]","[0.22, -0.055, 0.812]"
frontal,268,64,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_268.nii,6,4,8,"[57, 77, 95, 1]","[0.06, -0.095, 0.829]"
frontal,269,51,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_269.nii,8,4,8,"[50, 77, 95, 1]","[0.2, -0.095, 0.829]"
frontal,290,65,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_290.nii,5,6,11,"[38, 85, 84, 1]","[0.44, 0.014, 0.635]"
frontal,291,348,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_291.nii,8,9,13,"[42, 83, 85, 1]","[0.36, -0.014, 0.653]"
frontal,292,301,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_292.nii,7,9,10,"[45, 83, 90, 1]","[0.3, -0.014, 0.741]"
frontal,293,122,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_293.nii,10,5,11,"[31, 92, 65, 1]","[0.58, 0.109, 0.3]"
frontal,298,67,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_298.nii,7,3,5,"[21, 73, 59, 1]","[0.78, -0.15, 0.194]"
frontal,301,25,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_301.nii,3,2,5,"[31, 88, 75, 1]","[0.58, 0.055, 0.476]"
frontal,302,265,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_302.nii,7,13,9,"[35, 88, 39, 1]","[0.5, 0.055, -0.159]"
frontal,303,550,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_303.nii,8,16,9,"[34, 90, 46, 1]","[0.52, 0.082, -0.035]"
frontal,304,332,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_304.nii,6,11,12,"[34, 77, 46, 1]","[0.52, -0.095, -0.035]"
frontal,305,383,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_305.nii,7,18,10,"[35, 84, 51, 1]","[0.5, 0.0, 0.053]"
frontal,306,740,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_306.nii,13,13,10,"[34, 99, 51, 1]","[0.52, 0.205, 0.053]"
frontal,307,265,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_307.nii,9,12,9,"[36, 88, 55, 1]","[0.48, 0.055, 0.124]"
frontal,308,547,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_308.nii,13,17,13,"[28, 88, 51, 1]","[0.64, 0.055, 0.053]"
frontal,309,423,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_309.nii,9,8,21,"[26, 93, 57, 1]","[0.68, 0.123, 0.159]"
frontal,310,1328,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_310.nii,15,16,21,"[39, 115, 68, 1]","[0.42, 0.423, 0.353]"
frontal,311,972,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_311.nii,9,16,19,"[56, 96, 73, 1]","[0.08, 0.164, 0.441]"
frontal,312,786,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_312.nii,9,16,13,"[56, 85, 77, 1]","[0.08, 0.014, 0.512]"
frontal,313,31,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_313.nii,4,3,5,"[53, 68, 75, 1]","[0.14, -0.218, 0.476]"
frontal,314,324,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_314.nii,5,11,12,"[56, 92, 86, 1]","[0.08, 0.109, 0.671]"
frontal,316,2,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_316.nii,0,0,1,"[57, 66, 79, 1]","[0.06, -0.245, 0.547]"
frontal,317,519,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_317.nii,9,14,11,"[56, 83, 92, 1]","[0.08, -0.014, 0.776]"
frontal,318,291,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_318.nii,9,10,9,"[50, 89, 93, 1]","[0.2, 0.068, 0.794]"
frontal,319,495,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_319.nii,9,20,8,"[52, 99, 34, 1]","[0.16, 0.205, -0.247]"
frontal,320,616,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_320.nii,12,18,10,"[45, 99, 35, 1]","[0.3, 0.205, -0.229]"
frontal,321,740,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_321.nii,11,20,8,"[55, 115, 33, 1]","[0.1, 0.423, -0.265]"
frontal,322,402,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_322.nii,11,16,8,"[47, 114, 36, 1]","[0.26, 0.409, -0.212]"
frontal,323,400,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_323.nii,7,17,9,"[57, 104, 34, 1]","[0.06, 0.273, -0.247]"
frontal,324,597,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_324.nii,13,9,11,"[54, 126, 39, 1]","[0.12, 0.573, -0.159]"
frontal,340,418,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_340.nii,11,12,11,"[37, 98, 43, 1]","[0.46, 0.191, -0.088]"
frontal,341,758,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_341.nii,14,18,9,"[42, 120, 40, 1]","[0.36, 0.491, -0.141]"
frontal,342,910,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_342.nii,13,17,17,"[32, 118, 44, 1]","[0.56, 0.464, -0.071]"
frontal,343,1683,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_343.nii,19,16,20,"[43, 123, 51, 1]","[0.34, 0.532, 0.053]"
frontal,344,571,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_344.nii,11,11,13,"[29, 111, 52, 1]","[0.62, 0.368, 0.071]"
